shapeName,imds,rank_imds,COORD_X,COORD_Y,sdg2_2_cmc,sdg2_2_oww,sdg3_3_cdir,sdg3_3_di,sdg3_3_imr,sdg3_3_ti,sdg3_3_hivi,sdg3_7_afr
Patacamaya,56.400002,64,-67.913192,-17.216754,14.0,22.799999,0,0,0,34,21,53
Colquencha,50.5,174,-68.256729,-16.991588,23.1,21.700001,0,0,0,9,0,57
Santiago de Machaca,52.099998,139,-69.271202,-17.189811,23.1,21.700001,0,0,0,0,0,50
Sena,37.599998,334,-67.359346,-11.855364,25.700001,17.200001,0,0,45,19,0,148
San Lorenzo,41.900002,314,-66.821752,-11.597681,25.700001,17.200001,0,1,42,0,0,111
Santa Rosa,48.200001,217,-66.6614,-13.317344,25.700001,17.200001,0,0,84,79,0,235
Malla,48.099998,220,-67.42763,-17.010433,23.1,21.700001,0,0,0,0,0,38
Comanche,48.099998,221,-68.449473,-16.950742,23.1,21.700001,0,0,0,0,0,69
Calamarca,53.0,116,-68.112847,-16.890322,23.1,21.700001,0,0,0,24,20,37
Viacha,57.599998,52,-68.310773,-16.734055,14.0,22.799999,0,0,0,44,8,54
Villa Libertad Licoma,52.5,129,-67.203666,-16.811896,23.1,21.700001,0,0,0,34,0,48
Quime,53.099998,111,-67.340472,-16.850676,14.0,22.799999,0,0,0,11,0,94
Huatajata,58.700001,39,-68.690151,-16.199338,14.0,22.799999,0,0,0,93,0,26
Laja,51.200001,156,-68.459642,-16.588598,23.1,21.700001,0,0,0,7,0,44
Mecapaca,58.0,47,-67.980069,-16.717485,14.0,22.799999,0,0,0,50,0,40
Palca,49.099998,205,-67.825938,-16.666847,23.1,21.700001,1,0,0,51,0,76
Achocalla,55.700001,69,-68.126028,-16.662314,23.1,21.700001,0,0,0,4,0,38
El Alto,67.400002,8,-68.203791,-16.469452,15.1,25.0,0,0,0,62,265,39
Yanacachi,58.0,46,-67.791172,-16.424736,14.0,22.799999,0,0,0,146,0,68
Tapacarí,39.400002,328,-66.650929,-17.570861,30.200001,14.7,0,0,0,11,0,68
